2018.09.10 00:50:16.752 | < W | ffe5 | ffe9 | ef0177 (  w)
2018.09.10 00:50:16.820 | > N | ffe0 | ffe4 | 6615234a4102101624000a99 (f #JA   $   )
2018.09.10 00:50:17.333 | < W | ffe5 | ffe9 | 5608242300f0aa (V $#   )
2018.09.10 00:50:17.378 | < W | ffe5 | ffe9 | 5608242200f0aa (V $"   )
2018.09.10 00:50:17.380 | < W | ffe5 | ffe9 | 101412090a121d01010001 (           )
2018.09.10 00:50:17.383 | < W | ffe5 | ffe9 | 5608242000f0aa (V $    )
2018.09.10 00:50:17.422 | < W | ffe5 | ffe9 | 5608241e00f0aa (V $    )
2018.09.10 00:50:17.425 | < W | ffe5 | ffe9 | 5608241c00f0aa (V $    )
2018.09.10 00:50:17.428 | < W | ffe5 | ffe9 | 5607241a00f0aa (V $    )
2018.09.10 00:50:17.467 | < W | ffe5 | ffe9 | 5607241900f0aa (V $    )
2018.09.10 00:50:17.470 | < W | ffe5 | ffe9 | 5607241800f0aa (V $    )
2018.09.10 00:50:17.512 | < W | ffe5 | ffe9 | 5607241700f0aa (V $    )
2018.09.10 00:50:17.515 | < W | ffe5 | ffe9 | 5608241600f0aa (V $    )
2018.09.10 00:50:17.518 | < W | ffe5 | ffe9 | 5608241500f0aa (V $    )
2018.09.10 00:50:17.557 | < W | ffe5 | ffe9 | 5608241400f0aa (V $    )
2018.09.10 00:50:17.560 | < W | ffe5 | ffe9 | 5608241300f0aa (V $    )
2018.09.10 00:50:17.563 | < W | ffe5 | ffe9 | 5609241300f0aa (V $    )
2018.09.10 00:50:17.602 | < W | ffe5 | ffe9 | 5609241200f0aa (V $    )
2018.09.10 00:50:17.605 | < W | ffe5 | ffe9 | 5609241200f0aa (V $    )
2018.09.10 00:50:17.647 | < W | ffe5 | ffe9 | 560a241100f0aa (V $    )
2018.09.10 00:50:17.650 | < W | ffe5 | ffe9 | 560a241100f0aa (V $    )
2018.09.10 00:50:17.693 | < W | ffe5 | ffe9 | 560b241000f0aa (V $    )
2018.09.10 00:50:17.696 | < W | ffe5 | ffe9 | 560c241000f0aa (V $    )
2018.09.10 00:50:17.698 | < W | ffe5 | ffe9 | 560c241000f0aa (V $    )
2018.09.10 00:50:17.701 | < W | ffe5 | ffe9 | 560d241000f0aa (V $    )
2018.09.10 00:50:17.737 | < W | ffe5 | ffe9 | 560e240f00f0aa (V $    )
2018.09.10 00:50:17.740 | < W | ffe5 | ffe9 | 560e240f00f0aa (V $    )
2018.09.10 00:50:17.827 | < W | ffe5 | ffe9 | 560f240f00f0aa (V $    )
2018.09.10 00:50:17.830 | < W | ffe5 | ffe9 | 5610240f00f0aa (V $    )
2018.09.10 00:50:17.833 | < W | ffe5 | ffe9 | 5610241000f0aa (V $    )
2018.09.10 00:50:17.837 | < W | ffe5 | ffe9 | 5611241000f0aa (V $    )
2018.09.10 00:50:17.841 | < W | ffe5 | ffe9 | 5612241000f0aa (V $    )
2018.09.10 00:50:17.844 | < W | ffe5 | ffe9 | 5613241000f0aa (V $    )
2018.09.10 00:50:17.872 | < W | ffe5 | ffe9 | 5613241100f0aa (V $    )
2018.09.10 00:50:17.875 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:17.878 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:17.917 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:17.920 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:17.962 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:17.965 | < W | ffe5 | ffe9 | 5615241100f0aa (V $    )
2018.09.10 00:50:17.968 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:18.07 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:18.010 | < W | ffe5 | ffe9 | 5614241100f0aa (V $    )
2018.09.10 00:50:18.052 | < W | ffe5 | ffe9 | 5613241000f0aa (V $    )
2018.09.10 00:50:18.055 | < W | ffe5 | ffe9 | 5611241000f0aa (V $    )
